template_id_1,template_id_2,similarity,template_1,template_2
12,15,0.765162177081707,081110 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,081111 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>
8,15,0.7219838716369931,081109 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,081111 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>
10,16,0.7110381939192681,081110 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,081111 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>
8,12,0.6875796422761328,081109 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,081110 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>
5,16,0.6630322212934785,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,081111 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>
5,10,0.6243350640935319,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,081110 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>
4,17,0.5143470624224435,<*> <*> <*> INFO dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*>,081111 <*> <*> INFO dfs.DataNode$DataXceiver: Received block <*> src: <*> dest: <*> of size 67108864
5,8,0.4812493125959103,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,081109 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>
10,14,0.4757461389899295,081110 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,081110 <*> 19 INFO dfs.FSNamesystem: BLOCK* ask <*> to delete <*>
3,17,0.4750860726327516,<*> <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>,081111 <*> <*> INFO dfs.DataNode$DataXceiver: Received block <*> src: <*> dest: <*> of size 67108864
2,11,0.4142957641031238,<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>
10,12,0.4110021653041033,081110 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>,081110 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>
12,14,0.4105834035678443,081110 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,081110 <*> 19 INFO dfs.FSNamesystem: BLOCK* ask <*> to delete <*>
14,20,0.3528974477135918,081110 <*> 19 INFO dfs.FSNamesystem: BLOCK* ask <*> to delete <*>,081111 080934 19 INFO dfs.FSNamesystem: BLOCK* ask 10.250.14.38:50010 to replicate blk_-7571492020523929240 to datanode(s) 10.251.122.38:50010
14,21,0.35267260483948465,081110 <*> 19 INFO dfs.FSNamesystem: BLOCK* ask <*> to delete <*>,081111 091733 19 INFO dfs.FSNamesystem: BLOCK* ask 10.251.126.5:50010 to delete blk_-9016567407076718172 blk_-8695715290502978219 blk_-7168328752988473716 blk_-4355192005224403537 blk_-3757501769775889193 blk_-154600013573668394 blk_167132135416677587 blk_2654596473569751784 blk_5202581916713319258
15,16,0.34381841419607884,081111 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,081111 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*>
15,17,0.30150801005986577,081111 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,081111 <*> <*> INFO dfs.DataNode$DataXceiver: Received block <*> src: <*> dest: <*> of size 67108864
4,15,0.2520950458859022,<*> <*> <*> INFO dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*>,081111 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>
1,3,0.25103963757976633,<*> <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,<*> <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>
12,13,0.24947320177214177,081110 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*>,081110 211541 18 INFO dfs.DataNode: 10.250.15.198:50010 Starting thread to transfer block blk_4292382298896622412 to 10.250.15.240:50010
